# Columns:
#
# unip_acc: Uniprot accession number
# unip_id: Uniprot identifier  
# source: Source of the transcriptions factor classification
#
#unip_acc	unip_id	source
Q9Y6Y1	CMTA1_HUMAN	Vaquerizas et al.
Q9Y6X8	ZHX2_HUMAN	Vaquerizas et al.
Q9Y6Q3	ZFP37_HUMAN	Vaquerizas et al.
Q9Y692	GMEB1_HUMAN	Vaquerizas et al.
Q9Y651	SOX21_HUMAN	Vaquerizas et al.
Q9Y603	ETV7_HUMAN	Vaquerizas et al.
Q9Y5X4	NR2E3_HUMAN	Vaquerizas et al.
Q9Y5W3	KLF2_HUMAN	Vaquerizas et al.
Q9Y5V0	ZN706_HUMAN	Vaquerizas et al.
Q9Y5R6	DMRT1_HUMAN	Vaquerizas et al.
Q9Y5R5	DMRT2_HUMAN	Vaquerizas et al.
Q9Y5Q3	MAFB_HUMAN	Vaquerizas et al.
Q9Y5J3	HEY1_HUMAN	Vaquerizas et al.
Q9Y5A6	ZSC21_HUMAN	Vaquerizas et al.
Q9Y543	HES2_HUMAN	Vaquerizas et al.
Q9Y4Z2	NGN3_HUMAN	Vaquerizas et al.
Q9Y4X4	KLF12_HUMAN	Vaquerizas et al.
Q9Y4E5	ZN451_HUMAN	Vaquerizas et al.
Q9Y4A8	NF2L3_HUMAN	Vaquerizas et al.
Q9Y473	ZN175_HUMAN	Vaquerizas et al.
Q9Y467	SALL2_HUMAN	Vaquerizas et al.
Q9Y466	NR2E1_HUMAN	Vaquerizas et al.
Q9Y462	ZN711_HUMAN	Vaquerizas et al.
Q9Y458	TBX22_HUMAN	Vaquerizas et al.
Q9Y3Q8	T22D4_HUMAN	Vaquerizas et al.
Q9Y3M9	ZN337_HUMAN	Vaquerizas et al.
Q9Y330	ZBT12_HUMAN	Vaquerizas et al.
Q9Y2Y9	KLF13_HUMAN	Vaquerizas et al.
Q9Y2Y4	ZBT32_HUMAN	Vaquerizas et al.
Q9Y2X9	ZN281_HUMAN	Vaquerizas et al.
Q9Y2V3	RX_HUMAN	Vaquerizas et al.
Q9Y2Q1	ZN257_HUMAN	Vaquerizas et al.
Q9Y2P7	ZN256_HUMAN	Vaquerizas et al.
Q9Y2N7	HIF3A_HUMAN	Vaquerizas et al.
Q9Y2L8	ZKSC5_HUMAN	Vaquerizas et al.
Q9Y2K1	ZBTB1_HUMAN	Vaquerizas et al.
Q9Y2H8	ZN510_HUMAN	Vaquerizas et al.
Q9Y2G7	ZFP30_HUMAN	Vaquerizas et al.
Q9Y2D9	ZN652_HUMAN	Vaquerizas et al.
Q9Y2D1	ATF5_HUMAN	Vaquerizas et al.
Q9Y2A4	ZN443_HUMAN	Vaquerizas et al.
Q9Y261	FOXA2_HUMAN	Vaquerizas et al.
Q9Y242	TCF19_HUMAN	Vaquerizas et al.
Q9Y222	DMTF1_HUMAN	Vaquerizas et al.
Q9UQR1	ZN148_HUMAN	Vaquerizas et al.
Q9UPW6	SATB2_HUMAN	Vaquerizas et al.
Q9UPW0	FOXJ3_HUMAN	Vaquerizas et al.
Q9UPU6	ZN409_HUMAN	Vaquerizas et al.
Q9UPM6	LHX6_HUMAN	Vaquerizas et al.
Q9UPG8	PLAL2_HUMAN	Vaquerizas et al.
Q9UNY5	ZN232_HUMAN	Vaquerizas et al.
Q9UN79	SOX13_HUMAN	Vaquerizas et al.
Q9UMR3	TBX20_HUMAN	Vaquerizas et al.
