name,type,path,lines,code_blocks,metadata,structure,code_quality,content_depth,uniqueness,total,grade,recommendation,duplicate_of,issues
bio-applied-lc-ms-preprocessing,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-lc-ms-preprocessing/SKILL.md,78,2,18,16,10,12,15,71,B,FIX_MINOR,,duplicate_h1|no_goal_approach|no_function_defs
bio-applied-metabolic-flux,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-metabolic-flux/SKILL.md,79,2,18,16,10,12,15,71,B,FIX_MINOR,,duplicate_h1|no_goal_approach|no_function_defs
bio-applied-metabolite-identification,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-metabolite-identification/SKILL.md,81,2,18,16,10,12,15,71,B,FIX_MINOR,,duplicate_h1|no_goal_approach|no_function_defs
scrna-seq-analysis,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/scrna-seq-analysis/SKILL.md,118,6,14,11,14,19,15,73,B,FIX_MINOR,,bad_description|duplicate_h1|no_learning_objectives|no_prerequisites|no_goal_approach|no_function_defs
virology-bioinformatics,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/virology-bioinformatics/SKILL.md,161,10,14,11,14,19,15,73,B,FIX_MINOR,,bad_description|duplicate_h1|no_learning_objectives|no_prerequisites|no_goal_approach|no_function_defs
bio-applied-virtual-screening,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-virtual-screening/SKILL.md,129,8,18,16,15,11,15,75,B,FIX_MINOR,,duplicate_h1|no_goal_approach|no_function_defs|is_stub
dna-methylation,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/dna-methylation/SKILL.md,139,8,14,11,16,19,15,75,B,FIX_MINOR,,bad_description|duplicate_h1|no_learning_objectives|no_prerequisites|no_goal_approach
foundations-statistics-python,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/foundations-statistics-python/SKILL.md,309,14,14,16,10,20,15,75,B,FIX_MINOR,,bad_description|duplicate_h1|no_goal_approach|needs_r_coverage|no_function_defs
algo-complexity-analysis,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/algo-complexity-analysis/SKILL.md,474,28,16,11,17,17,15,76,B,FIX_MINOR,,duplicate_h1|no_learning_objectives|no_prerequisites|no_goal_approach
algo-dfa-matching,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/algo-dfa-matching/SKILL.md,489,32,16,11,17,17,15,76,B,FIX_MINOR,,duplicate_h1|no_learning_objectives|no_prerequisites|no_goal_approach
