name,type,path,lines,code_blocks,metadata,structure,code_quality,content_depth,uniqueness,total,grade,recommendation,duplicate_of,issues
bio-applied-lc-ms-preprocessing,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-lc-ms-preprocessing/SKILL.md,72,2,14,13,7,10,15,59,C,FIX_MAJOR,,bad_description|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
bio-applied-metabolic-flux,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-metabolic-flux/SKILL.md,73,2,14,13,7,10,15,59,C,FIX_MAJOR,,bad_description|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
bio-applied-metabolite-identification,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-metabolite-identification/SKILL.md,75,2,14,13,7,10,15,59,C,FIX_MAJOR,,bad_description|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
bio-applied-screen-qc-normalization,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-screen-qc-normalization/SKILL.md,59,0,14,15,6,10,15,60,C,FIX_MAJOR,,bad_description|no_pitfalls|no_code_blocks|no_goal_approach|no_function_defs
bio-applied-virtual-screening,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-virtual-screening/SKILL.md,123,8,14,13,12,11,15,65,C,FIX_MAJOR,,bad_description|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs|is_stub
python-bio-strings,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/python-bio-strings/SKILL.md,421,40,14,8,11,17,15,65,C,FIX_MAJOR,,bad_description|duplicate_h1|no_learning_objectives|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
foundations-biostatistics-fundamentals,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/foundations-biostatistics-fundamentals/SKILL.md,316,14,14,11,7,20,15,67,C,FIX_MAJOR,,bad_description|duplicate_h1|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks|needs_r_coverage|no_function_defs
foundations-r-hypothesis-testing-and-nonparametrics,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/foundations-r-hypothesis-testing-and-nonparametrics/SKILL.md,372,36,14,11,7,20,15,67,C,FIX_MAJOR,,bad_description|duplicate_h1|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks|needs_r_coverage|no_function_defs
foundations-r-regression-correlation-and-diagnostics,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/foundations-r-regression-correlation-and-diagnostics/SKILL.md,364,42,14,11,7,20,15,67,C,FIX_MAJOR,,bad_description|duplicate_h1|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks|needs_r_coverage|no_function_defs
bio-applied-differential-binding,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-differential-binding/SKILL.md,343,10,14,13,11,15,15,68,C,FIX_MAJOR,,bad_description|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
bio-applied-qiime2-16s,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-qiime2-16s/SKILL.md,324,14,14,13,11,15,15,68,C,FIX_MAJOR,,bad_description|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
python-bio-classes,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/python-bio-classes/SKILL.md,414,16,14,8,14,17,15,68,C,FIX_MAJOR,,bad_description|duplicate_h1|no_learning_objectives|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks
python-bio-iterators,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/python-bio-iterators/SKILL.md,466,42,14,8,14,17,15,68,C,FIX_MAJOR,,bad_description|duplicate_h1|no_learning_objectives|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks
python-bio-oop,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/python-bio-oop/SKILL.md,391,10,14,8,14,17,15,68,C,FIX_MAJOR,,bad_description|duplicate_h1|no_learning_objectives|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks
bio-applied-bayesian-statistics-python,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-bayesian-statistics-python/SKILL.md,305,12,14,13,7,20,15,69,C,FIX_MAJOR,,bad_description|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|needs_r_coverage|no_function_defs
bio-applied-docking,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-docking/SKILL.md,319,12,14,8,14,18,15,69,C,FIX_MAJOR,,bad_description|duplicate_h1|no_learning_objectives|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks
bio-applied-qsar-modeling,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-qsar-modeling/SKILL.md,139,10,14,13,11,16,15,69,C,FIX_MAJOR,,bad_description|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
bio-applied-rdkit-basics,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-rdkit-basics/SKILL.md,146,10,14,13,11,16,15,69,C,FIX_MAJOR,,bad_description|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
bio-applied-single-cell-scanpy,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-single-cell-scanpy/SKILL.md,393,30,16,11,7,20,15,69,C,FIX_MAJOR,,duplicate_h1|no_prerequisites|no_pitfalls|no_goal_approach|untagged_code_blocks|needs_r_coverage|no_function_defs
