name,type,path,lines,code_blocks,metadata,structure,code_quality,content_depth,uniqueness,total,grade,recommendation,duplicate_of,issues
metabolomics,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/metabolomics.md,148,8,0,3,14,19,11,47,D,REWRITE,gold:bio-metabolomics-normalization-qc,no_frontmatter|no_version_compat|flat_format|duplicate_h1|no_learning_objectives|no_prerequisites|no_goal_approach|untagged_code_blocks|near_gold_duplicate
bio-applied-screen-qc-normalization,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-screen-qc-normalization/SKILL.md,48,0,11,8,6,8,15,48,D,DELETE_LOW_QUALITY,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_pitfalls|no_code_blocks|no_goal_approach|no_function_defs|too_short|shallow_sections
scrna-seq-analysis,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/scrna-seq-analysis.md,100,6,0,3,11,19,15,48,D,REWRITE,,no_frontmatter|no_version_compat|flat_format|duplicate_h1|no_learning_objectives|no_prerequisites|no_goal_approach|untagged_code_blocks|no_function_defs
virology-bioinformatics,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/virology-bioinformatics.md,143,10,0,3,11,19,15,48,D,REWRITE,,no_frontmatter|no_version_compat|flat_format|duplicate_h1|no_learning_objectives|no_prerequisites|no_goal_approach|untagged_code_blocks|no_function_defs
single-cell-scanpy,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/single-cell-scanpy.md,395,28,9,8,9,20,3,49,D,DELETE_DUPLICATE,bio-applied-single-cell-scanpy,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|needs_r_coverage|duplicate_of_directory|near_gold_duplicate
dna-methylation,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/dna-methylation.md,121,8,0,3,13,19,15,50,C,FIX_MAJOR,,no_frontmatter|no_version_compat|flat_format|duplicate_h1|no_learning_objectives|no_prerequisites|no_goal_approach|untagged_code_blocks
enformer-regulatory-prediction,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/enformer-regulatory-prediction.md,76,8,9,8,13,17,3,50,D,DELETE_DUPLICATE,ai-science-enformer-regulatory,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
bio-applied-lc-ms-preprocessing,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-lc-ms-preprocessing/SKILL.md,61,2,11,8,7,10,15,51,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
bio-applied-metabolic-flux,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-metabolic-flux/SKILL.md,62,2,11,8,7,10,15,51,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
bio-applied-metabolite-identification,directory,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bio-applied-metabolite-identification/SKILL.md,64,2,11,8,7,10,15,51,C,FIX_MAJOR,,bad_description|no_primary_tool|no_version_compat|duplicate_h1|no_pitfalls|no_goal_approach|untagged_code_blocks|no_function_defs
cancer-transcriptomics,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/cancer-transcriptomics.md,179,12,11,6,14,17,3,51,D,DELETE_DUPLICATE,bio-applied-cancer-transcriptomics,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
genomic-foundation-models,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/genomic-foundation-models.md,162,8,0,3,14,19,15,51,C,FIX_MAJOR,,no_frontmatter|no_version_compat|flat_format|duplicate_h1|no_learning_objectives|no_prerequisites|no_goal_approach|untagged_code_blocks
immunogenomics,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/immunogenomics.md,130,10,0,3,14,19,15,51,C,FIX_MAJOR,,no_frontmatter|no_version_compat|flat_format|duplicate_h1|no_learning_objectives|no_prerequisites|no_goal_approach|untagged_code_blocks
protein-language-models,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/protein-language-models.md,164,10,0,3,14,19,15,51,C,FIX_MAJOR,,no_frontmatter|no_version_compat|flat_format|duplicate_h1|no_learning_objectives|no_prerequisites|no_goal_approach|untagged_code_blocks
bayesian-python,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/bayesian-python.md,128,14,11,8,11,19,3,52,D,DELETE_DUPLICATE,bio-applied-bayesian-statistics-python,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|no_function_defs|duplicate_of_directory|near_gold_duplicate
epigenomic-sequence-models,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/epigenomic-sequence-models.md,71,8,9,10,13,17,3,52,D,DELETE_DUPLICATE,ai-science-epigenomic-sequence-models,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
hic-analysis,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/hic-analysis.md,138,16,11,8,11,19,3,52,D,DELETE_DUPLICATE,bio-core-hic-analysis,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|no_function_defs|duplicate_of_directory|near_gold_duplicate
numpy-pandas-wrangling,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/numpy-pandas-wrangling.md,240,36,11,8,13,17,3,52,D,DELETE_DUPLICATE,python-bio-numpy,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
probability-statistics-python,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/probability-statistics-python.md,318,16,11,8,10,20,3,52,D,DELETE_DUPLICATE,foundations-probability,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|needs_r_coverage|duplicate_of_directory|near_gold_duplicate
splicing-variant-models,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/splicing-variant-models.md,81,8,9,10,13,17,3,52,D,DELETE_DUPLICATE,ai-science-splicing-models,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
advanced-r-statistics,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/advanced-r-statistics.md,219,28,11,8,11,20,3,53,D,DELETE_DUPLICATE,foundations-statistics-python,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|no_function_defs|duplicate_of_directory|near_gold_duplicate
clinical-genomics,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/clinical-genomics.md,395,28,9,8,13,20,3,53,D,DELETE_DUPLICATE,bio-applied-clinical-genomics,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
gwas-analysis,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/gwas-analysis.md,178,12,9,8,14,19,3,53,D,DELETE_DUPLICATE,bio-applied-gwas,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
molecular-modeling-docking,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/molecular-modeling-docking.md,395,28,9,8,13,20,3,53,D,DELETE_DUPLICATE,bio-applied-docking,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
numerical-methods-bio,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/numerical-methods-bio.md,271,24,9,8,13,20,3,53,D,DELETE_DUPLICATE,bio-applied-numerical-methods-for-bioinformatics,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
promoter-regulatory-analysis,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/promoter-regulatory-analysis.md,302,30,9,8,13,20,3,53,D,DELETE_DUPLICATE,bio-applied-promoter,bad_description|no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|duplicate_of_directory|near_gold_duplicate
spatial-transcriptomics,flat,/Users/pavel/Documents/Python-scripts-for-everything/Skills/spatial-transcriptomics.md,220,26,11,8,11,20,3,53,D,DELETE_DUPLICATE,bio-applied-spatial-transcriptomics,no_tool_type|no_primary_tool|no_version_compat|flat_format|duplicate_h1|no_prerequisites|no_goal_approach|untagged_code_blocks|no_function_defs|duplicate_of_directory|near_gold_duplicate
