Start	End	Name
731	802	tP(UGG)Q
6546	8194	Q0020
9374	9447	tW(UCA)Q
13818	26701	Q0045
13818	23167	Q0070
13818	21935	Q0065
13818	19996	Q0060
13818	18830	Q0055
13818	16322	Q0050
24156	25255	Q0075
27666	27812	Q0080
28487	29266	Q0085
35373	35444	tE(UUC)Q
36540	43647	Q0105
36540	42251	Q0120
36540	40265	Q0115
36540	38579	Q0110
46723	46953	Q0130
48201	48290	tS(UGA)Q2
48901	50097	Q0140
58009	62447	Q0158
61022	61729	Q0160
63862	63937	tT(UGU)Q1
64415	64490	tC(GCA)Q
64596	64670	tH(GUG)Q
66095	66179	tL(UAA)Q
66210	66285	tQ(UUG)Q
67061	67134	tK(UUU)Q
67309	67381	tR(UCU)Q1
67468	67542	tG(UCC)Q
68322	68396	tD(GUC)Q
69203	69288	tS(GCU)Q1
69289	69362	tR(ACG)Q2
69846	69921	tA(UGC)Q
70162	70237	tI(GAU)Q
70824	70907	tY(GUA)Q
71433	71503	tN(GUU)Q
72630	72705	tM(CAU)Q1
73758	74513	Q0250
74495	75984	Q0255
77431	77505	tF(GAA)Q
78089	78162	tT(UAG)Q2
78533	78608	tV(UAC)Q
79213	80022	Q0275
85035	85112	tM(CAU)Q2
85295	85777	Q0285
