Ensembl ID	Uniprot IDs	Length	Symbol	Degree	mitochondrion organization	cell adhesion	signal transduction	B cell FPKM	Neuron FPKM
ENSG00000000003	A0A087WYV6_HUMAN A0A087WZU5_HUMAN TSN6_HUMAN	15084.00000000001	TSPAN6	5	0	0	0	0.08	19.7
ENSG00000000005	TNMD_HUMAN	12882.99999999999	TNMD	1	0	0	0	0.0	0.0
ENSG00000000419	H0Y368_HUMAN DPM1_HUMAN Q5QPJ9_HUMAN Q5QPK2_HUMAN	44637.00000000001	DPM1	15	0	0	0	9.55	44.89
ENSG00000000457	PACE1_HUMAN X6RHX1_HUMAN	23689.00000000001	SCYL3	5	0	0	0	10.17	3.75
ENSG00000000938	FGR_HUMAN Q5TGY6_HUMAN	192074.00000000012	FGR	37	0	0	0	210.86	0.0
ENSG00000000971	A0A0D9SG88_HUMAN CFAH_HUMAN Q5TFM2_HUMAN	16879.99999999999	CFH	12	0	0	0	0.0	0.0
ENSG00000001036	Q7Z6V2_HUMAN FUCO2_HUMAN	95626.99999999996	FUCA2	3	0	0	0	2.59	6.57
ENSG00000001084	A0A0C4DGB2_HUMAN D6R959_HUMAN D6REX4_HUMAN D6RGF8_HUMAN D6RIT4_HUMAN E1CEI4_HUMAN H0Y9I7_HUMAN H0YAB6_HUMAN GSH1_HUMAN	27031.999999999996	GCLC	2	0	0	0	7.34	5.94
ENSG00000001167	NFYA_HUMAN	119630.00000000007	NFYA	50	0	0	0	16.68	13.87
ENSG00000001461	A6NN97_HUMAN H0Y4I9_HUMAN NPAL3_HUMAN	59935.99999999997	NIPAL3	1	0	0	0	16.99	12.54
ENSG00000001497	LAS1L_HUMAN R4GNF7_HUMAN	16707.000000000004	LAS1L	109	0	0	0	16.72	13.84
ENSG00000001617	C9IYS6_HUMAN C9J1V2_HUMAN C9J4H5_HUMAN C9JPG5_HUMAN H7C4A2_HUMAN SEM3F_HUMAN	250188.00000000015	SEMA3F	6	0	0	0	0.0	18.58
ENSG00000001626	C9J6L5_HUMAN E7EPB6_HUMAN H0Y8A9_HUMAN M0QYZ3_HUMAN CFTR_HUMAN	34031.00000000003	CFTR	161	0	0	0	0.0	0.01
ENSG00000001629	C9JZ63_HUMAN H7C0S0_HUMAN H7C2L9_HUMAN H7C2V2_HUMAN AKIB1_HUMAN	30802.00000000002	ANKIB1	1	0	0	0	11.78	18.35
ENSG00000001630	A0A0C4DFL7_HUMAN C9IYR8_HUMAN H7C0D0_HUMAN CP51A_HUMAN	155150.99999999988	CYP51A1	29	0	0	0	4.5	180.33
ENSG00000001631	A0A0C4DG23_HUMAN C9J3W7_HUMAN C9J718_HUMAN C9JBN7_HUMAN C9JD43_HUMAN C9JD81_HUMAN C9JEW7_HUMAN C9JF32_HUMAN C9JI47_HUMAN C9JIY2_HUMAN C9JJM9_HUMAN C9JSG7_HUMAN C9JXI9_HUMAN KRIT1_HUMAN		KRIT1	6	0	0	0	18.39	14.18
ENSG00000002016	E9PF95_HUMAN F5GX32_HUMAN F5GX95_HUMAN F5H1K5_HUMAN RAD52_HUMAN	47198.00000000004	RAD52	18	0	0	0	19.8	6.64
ENSG00000002330	A8MXU7_HUMAN F5GYS3_HUMAN F5H1R6_HUMAN F5H3B1_HUMAN BAD_HUMAN	30781.00000000002	BAD	54	0	0	0	27.98	43.24
ENSG00000002549	H0Y983_HUMAN H0Y9Q1_HUMAN AMPL_HUMAN	14875.000000000005	LAP3	3	0	0	0	13.14	18.59
ENSG00000002586	A0A096LP69_HUMAN A6NGF6_HUMAN A6NJT9_HUMAN A8MQT7_HUMAN H7C2F2_HUMAN CD99_HUMAN	36615.999999999935	CD99	9	0	1	0	43.49	14.41
ENSG00000002587	E9PDE3_HUMAN HS3S1_HUMAN	50130.99999999996	HS3ST1	6	0	0	0	12.64	0.12
ENSG00000002726	C9J0G8_HUMAN C9J2J4_HUMAN AOC1_HUMAN	15738.0	AOC1	45	0	0	1	0.05	0.0
ENSG00000002745	E9PH60_HUMAN WNT16_HUMAN	36877.99999999999	WNT16	1	0	0	0	3.01	0.08
ENSG00000002746	H7C3Q2_HUMAN HECW1_HUMAN	417451.00000000006	HECW1	8	0	0	0	0.0	17.57
ENSG00000002822	C9J9H5_HUMAN C9JIR0_HUMAN C9JJ38_HUMAN C9JKI7_HUMAN C9JP81_HUMAN C9JPS1_HUMAN C9JTA2_HUMAN C9JX80_HUMAN C9K086_HUMAN MD1L1_HUMAN	453403.00000000023	MAD1L1	42	0	0	0	61.98	32.84
ENSG00000002834	C9J9W2_HUMAN F6S2S5_HUMAN J3KSN1_HUMAN K7ESD6_HUMAN LASP1_HUMAN	19718.000000000004	LASP1	32	0	0	0	37.02	25.75
ENSG00000002919	B4DJI7_HUMAN J3KTN6_HUMAN J3QKV3_HUMAN J3QLV8_HUMAN J3QRB9_HUMAN J3QRW4_HUMAN SNX11_HUMAN	51911.99999999994	SNX11	2	0	0	0	18.29	11.52
ENSG00000002933	C9JJ63_HUMAN C9JRT9_HUMAN H7C4P5_HUMAN T176A_HUMAN	9592.99999999999	TMEM176A	1	0	0	0	0.77	0.32
ENSG00000003056	F5GX30_HUMAN F5GXE0_HUMAN F5GXU0_HUMAN F5H4U1_HUMAN F5H883_HUMAN H0YF90_HUMAN H0YFL0_HUMAN H0YFY9_HUMAN H0YGE9_HUMAN H0YGT2_HUMAN MPRD_HUMAN	4718.000000000006	M6PR	5	0	0	1	42.09	37.16
ENSG00000003096	A0A0C4DG80_HUMAN A0A0C4DG99_HUMAN C9JTS9_HUMAN KLH13_HUMAN	18801.00000000002	KLHL13	13	0	0	0	0.03	17.07
ENSG00000003147	B9ZVM7_HUMAN C9IZC7_HUMAN C9J3Y4_HUMAN C9J8Y3_HUMAN E7ENI6_HUMAN E9PDL4_HUMAN F8WET5_HUMAN ICA69_HUMAN Q6LCR0_HUMAN Q6LCT9_HUMAN		ICA1	10	0	0	0	0.03	3.5
ENSG00000003393	H0Y696_HUMAN J3KQ33_HUMAN J3KQ43_HUMAN ALS2_HUMAN	46525.99999999995	ALS2	1	0	0	0	1.02	17.11
ENSG00000003400	B4E3T5_HUMAN CASPA_HUMAN	80636.00000000004	CASP10	38	0	0	0	11.48	0.0
ENSG00000003402	A0A0A0MR92_HUMAN C9J408_HUMAN C9J4Q0_HUMAN C9JSU3_HUMAN C9JV51_HUMAN E9PAP3_HUMAN F8WBH9_HUMAN M0QY57_HUMAN M0QYM0_HUMAN M0R1A8_HUMAN CFLAR_HUMAN	101530.99999999996	CFLAR	52	0	0	0	41.82	16.15
ENSG00000003436	C9J103_HUMAN C9JKV3_HUMAN C9JP39_HUMAN C9JQ14_HUMAN C9JT76_HUMAN TFPI1_HUMAN	60584.00000000004	TFPI	13	0	0	0	0.0	0.29
ENSG00000003756	C9J9P7_HUMAN C9JFQ5_HUMAN C9JR02_HUMAN F8W910_HUMAN F8WE23_HUMAN H7BYM9_HUMAN RBM5_HUMAN	21773.000000000036	RBM5	5	0	0	0	289.59	112.27
ENSG00000003987	E5RK11_HUMAN MTMR7_HUMAN	73485.99999999996	MTMR7	3	0	0	0	0.0	9.58
ENSG00000004059	C9J1Z8_HUMAN ARF5_HUMAN	39693.99999999996	ARF5	7	0	0	0	167.4	100.87
ENSG00000004142	B4DEM9_HUMAN PDIP2_HUMAN	51644.00000000002	POLDIP2	14	0	0	0	21.59	47.82
ENSG00000004399	D6RH25_HUMAN H0Y9D1_HUMAN H0YA64_HUMAN H0YAB2_HUMAN H0YAM9_HUMAN PLXD1_HUMAN	10346.00000000001	PLXND1	3	0	0	0	2.38	32.76
ENSG00000004455	F8VPP1_HUMAN F8VY04_HUMAN F8VZG5_HUMAN F8W1A4_HUMAN G3V213_HUMAN KAD2_HUMAN	74955.99999999999	AK2	18	0	0	0	47.74	26.08
ENSG00000004468	H0Y950_HUMAN CD38_HUMAN	73057.00000000004	CD38	5	0	0	1	9.21	0.19
ENSG00000004478	F5H120_HUMAN F5H1U3_HUMAN H0YFG2_HUMAN H0YG86_HUMAN FKBP4_HUMAN	64241.999999999854	FKBP4	35	0	0	0	13.83	27.27
ENSG00000004487	KDM1A_HUMAN R4GMP9_HUMAN R4GMQ1_HUMAN	10471.00000000001	KDM1A	83	0	0	0	22.73	187.0
ENSG00000004534	C9J250_HUMAN C9JII0_HUMAN C9JMC8_HUMAN C9JSL1_HUMAN E9PGM9_HUMAN F8WCA5_HUMAN F8WCT0_HUMAN F8WF63_HUMAN RBM6_HUMAN	34577.00000000002	RBM6	2	0	0	0	159.22	45.73
ENSG00000004660	J3KPJ3_HUMAN KKCC1_HUMAN	160039.00000000012	CAMKK1	13	0	0	0	3.22	13.19
ENSG00000004700	F5GYB7_HUMAN F5H2L2_HUMAN F5H3W0_HUMAN F5H4P4_HUMAN F8WA66_HUMAN F8WD97_HUMAN RECQ1_HUMAN	128782.00000000006	RECQL	13	0	0	0	9.98	20.82
ENSG00000004776	A0A1X7SC65_HUMAN K7EP04_HUMAN HSPB6_HUMAN	14291.000000000007	HSPB6	3	0	0	0	0.0	0.02
ENSG00000004777	A0A0A0MQQ9_HUMAN K7EK14_HUMAN K7EMC2_HUMAN K7EQI6_HUMAN RHG33_HUMAN	3510.9999999999995	ARHGAP33	2	0	0	0	19.95	10.94
ENSG00000004779	H3BNE8_HUMAN H3BNK3_HUMAN I3L505_HUMAN ACPM_HUMAN	12992.999999999987	NDUFAB1	53	0	0	0	28.1	67.73
ENSG00000004799	PDK4_HUMAN	15354.99999999999	PDK4	8	0	0	0	0.38	0.0
ENSG00000004838	C9JUQ8_HUMAN F2Z3M9_HUMAN ZMY10_HUMAN	51955.00000000002	ZMYND10	5	0	0	0	1.7	0.11
ENSG00000004846	H7C165_HUMAN ABCB5_HUMAN	12727.000000000002	ABCB5	1	0	0	0	0.0	0.0
ENSG00000004864	CMC2_HUMAN R4GN64_HUMAN	276866.0	SLC25A13	62	0	0	0	8.96	32.72
ENSG00000004866	B7Z4L1_HUMAN B7Z4U3_HUMAN C9J2Z1_HUMAN C9JCI7_HUMAN C9JRQ0_HUMAN C9JRW1_HUMAN C9JU30_HUMAN C9JWK8_HUMAN C9JX79_HUMAN C9JZV9_HUMAN E7EMS3_HUMAN E7ENZ9_HUMAN E7EPD9_HUMAN E7EPW5_HUMAN E9PCV1_HUMAN E9PF01_HUMAN G3XAH9_HUMAN H7BXS2_HUMAN ST7_HUMAN	201928.0000000001	ST7	6	0	0	0	1.65	51.34
ENSG00000004897	E9PRZ6_HUMAN F6QPS0_HUMAN G5EA36_HUMAN I3L1K3_HUMAN I3L225_HUMAN I3L2Z8_HUMAN I3L328_HUMAN I3L394_HUMAN I3L3G1_HUMAN I3L3H6_HUMAN I3L3Y5_HUMAN K7EMA6_HUMAN CDC27_HUMAN	19756.999999999996	CDC27	41	0	0	0	14.73	30.01
ENSG00000004939	A0A0A0MS98_HUMAN B3AT_HUMAN V9H0V9_HUMAN		SLC4A1	18	0	0	0	0.01	0.0
ENSG00000004948	A0A0A0MRG0_HUMAN A0A0A0MSQ7_HUMAN A0A0C4DG16_HUMAN D8MIV0_HUMAN CALCR_HUMAN		CALCR	12	0	0	0	0.0	0.0
ENSG00000004975	I3L0M7_HUMAN I3L0Z8_HUMAN I3L2N2_HUMAN I3L2W9_HUMAN DVL2_HUMAN	5443.999999999998	DVL2	78	0	0	0	16.05	26.37
ENSG00000005007	RENT1_HUMAN	328177.99999999994	UPF1	156	0	0	0	37.16	20.69
ENSG00000005020	C9JQ17_HUMAN SKAP2_HUMAN	36299.000000000095	SKAP2	11	0	0	1	9.31	5.28
ENSG00000005022	ADT2_HUMAN	128522.0	SLC25A5	249	0	0	0	317.28	146.76
ENSG00000005059	MCUB_HUMAN	2920.0000000000014	MCUB	1	0	0	0	81.48	6.88
ENSG00000005073	H0YIA6_HUMAN HXA11_HUMAN	5789.999999999997	HOXA11	4	0	0	0	0.0	0.0
ENSG00000005075	F6S314_HUMAN RPB11_HUMAN	3713.999999999996	POLR2J	36	0	0	0	59.58	10.8
ENSG00000005100	I3L0M5_HUMAN I3L1L6_HUMAN Q05BE5_HUMAN DHX33_HUMAN	21567.0	DHX33	1	0	0	0	4.56	4.86
ENSG00000005102	F8VXS6_HUMAN MEOX1_HUMAN	28149.00000000002	MEOX1	23	0	0	0	0.0	0.0
