Ensembl ID	Symbol	Uniprot IDs	Log10 Length	Log10 Degree	Log10 B cell FPKM	Log10 Neuron FPKM	Chromosome
ENSG00000000003	TSPAN6	A0A087WYV6_HUMAN A0A087WZU5_HUMAN TSN6_HUMAN	4.178516523733583	0.6989700043360189	-1.0457574905606752	1.2946866242794433	X
ENSG00000000005	TNMD	TNMD_HUMAN	4.110017006792112	0.0	-2.0	-2.0	X
ENSG00000000419	DPM1	H0Y368_HUMAN DPM1_HUMAN Q5QPJ9_HUMAN Q5QPK2_HUMAN	4.649694998491634	1.1760912590556811	0.9804578922760999	1.6522463410033232	20
ENSG00000000457	SCYL3	PACE1_HUMAN X6RHX1_HUMAN	4.374546727938959	0.6989700043360189	1.00774777800074	0.5751878449276611	1
ENSG00000000938	FGR	FGR_HUMAN Q5TGY6_HUMAN	5.283468580787047	1.568201724066995	2.324014798036288	-2.0	1
ENSG00000000971	CFH	A0A0D9SG88_HUMAN CFAH_HUMAN Q5TFM2_HUMAN	4.227372442289636	1.0791812460476249	-2.0	-2.0	1
ENSG00000001036	FUCA2	Q7Z6V2_HUMAN FUCO2_HUMAN	4.980580531349967	0.4771212547196624	0.41497334797081786	0.8182258936139555	6
ENSG00000001084	GCLC	A0A0C4DGB2_HUMAN D6R959_HUMAN D6REX4_HUMAN D6RGF8_HUMAN D6RIT4_HUMAN E1CEI4_HUMAN H0Y9I7_HUMAN H0YAB6_HUMAN GSH1_HUMAN	4.43187817876684	0.3010299956639812	0.8662873390841949	0.7745169657285496	6
ENSG00000001167	NFYA	NFYA_HUMAN	5.077840102734994	1.6989700043360187	1.2224563366792467	1.1423894661188359	6
ENSG00000001461	NIPAL3	A6NN97_HUMAN H0Y4I9_HUMAN NPAL3_HUMAN	4.777687755695143	0.0	1.230448921378274	1.098643725817057	1
ENSG00000001497	LAS1L	LAS1L_HUMAN R4GNF7_HUMAN	4.222898472609422	2.0374264979406242	1.2234959409623944	1.1414497734004674	X
ENSG00000001617	SEMA3F	C9IYS6_HUMAN C9J1V2_HUMAN C9J4H5_HUMAN C9JPG5_HUMAN H7C4A2_HUMAN SEM3F_HUMAN	5.398266475386324	0.7781512503836436	-2.0	1.2692793897718986	3
ENSG00000001626	CFTR	C9J6L5_HUMAN E7EPB6_HUMAN H0Y8A9_HUMAN M0QYZ3_HUMAN CFTR_HUMAN	4.5318747110147335	2.206825876031849	-2.0	-1.6989700043360187	7
ENSG00000001629	ANKIB1	C9JZ63_HUMAN H7C0S0_HUMAN H7C2L9_HUMAN H7C2V2_HUMAN AKIB1_HUMAN	4.4885789165252525	0.0	1.0715138050950892	1.2638726768652238	7
ENSG00000001630	CYP51A1	A0A0C4DFL7_HUMAN C9IYR8_HUMAN H7C0D0_HUMAN CP51A_HUMAN	5.190754579102153	1.4623979978989559	0.6541765418779605	2.256092065339013	7
ENSG00000001631	KRIT1	A0A0C4DG23_HUMAN C9J3W7_HUMAN C9J718_HUMAN C9JBN7_HUMAN C9JD43_HUMAN C9JD81_HUMAN C9JEW7_HUMAN C9JF32_HUMAN C9JI47_HUMAN C9JIY2_HUMAN C9JJM9_HUMAN C9JSG7_HUMAN C9JXI9_HUMAN KRIT1_HUMAN		0.7781512503836436	1.2648178230095366	1.1519823954574742	7
ENSG00000002016	RAD52	E9PF95_HUMAN F5GX32_HUMAN F5GX95_HUMAN F5H1K5_HUMAN RAD52_HUMAN	4.6739235959356416	1.2552725051033058	1.2968844755385471	0.8228216453031045	12
ENSG00000002330	BAD	A8MXU7_HUMAN F5GYS3_HUMAN F5H1R6_HUMAN F5H3B1_HUMAN BAD_HUMAN	4.4882827248985535	1.7323937598229686	1.4470028984661625	1.635986111800833	11
ENSG00000002549	LAP3	H0Y983_HUMAN H0Y9Q1_HUMAN AMPL_HUMAN	4.172456974400587	0.4771212547196624	1.1189257528257768	1.2695129442179165	4
ENSG00000002586	CD99	A0A096LP69_HUMAN A6NGF6_HUMAN A6NJT9_HUMAN A8MQT7_HUMAN H7C2F2_HUMAN CD99_HUMAN	4.563670899419242	0.9542425094393248	1.6384892569546374	1.1589652603834102	X
ENSG00000002587	HS3ST1	E9PDE3_HUMAN HS3S1_HUMAN	4.700106367891535	0.7781512503836436	1.1020905255118367	-0.8860566476931632	4
ENSG00000002726	AOC1	C9J0G8_HUMAN C9J2J4_HUMAN AOC1_HUMAN	4.196949540973997	1.6532125137753435	-1.2218487496163564	-2.0	7
ENSG00000002745	WNT16	E9PH60_HUMAN WNT16_HUMAN	4.566767359981472	0.0	0.4800069429571506	-1.0457574905606752	7
ENSG00000002746	HECW1	H7C3Q2_HUMAN HECW1_HUMAN	5.620605505739375	0.9030899869919436	-2.0	1.2450188707377532	7
ENSG00000002822	MAD1L1	C9J9H5_HUMAN C9JIR0_HUMAN C9JJ38_HUMAN C9JKI7_HUMAN C9JP81_HUMAN C9JPS1_HUMAN C9JTA2_HUMAN C9JX80_HUMAN C9K086_HUMAN MD1L1_HUMAN	5.656484389366008	1.6232492903979006	1.7923216363515737	1.5165353738957996	7
ENSG00000002834	LASP1	C9J9W2_HUMAN F6S2S5_HUMAN J3KSN1_HUMAN K7ESD6_HUMAN LASP1_HUMAN	4.2948628622779665	1.505149978319906	1.5685537120494426	1.4109458586877746	17
ENSG00000002919	SNX11	B4DJI7_HUMAN J3KTN6_HUMAN J3QKV3_HUMAN J3QLV8_HUMAN J3QRB9_HUMAN J3QRW4_HUMAN SNX11_HUMAN	4.715267761150698	0.3010299956639812	1.2624510897304295	1.0618293072946992	17
ENSG00000002933	TMEM176A	C9JJ63_HUMAN C9JRT9_HUMAN H7C4P5_HUMAN T176A_HUMAN	3.981954444469973	0.0	-0.1079053973095196	-0.4814860601221125	7
ENSG00000003056	M6PR	F5GX30_HUMAN F5GXE0_HUMAN F5GXU0_HUMAN F5H4U1_HUMAN F5H883_HUMAN H0YF90_HUMAN H0YFL0_HUMAN H0YFY9_HUMAN H0YGE9_HUMAN H0YGT2_HUMAN MPRD_HUMAN	3.6737579365495767	0.6989700043360189	1.6242820958356683	1.570192561095726	12
ENSG00000003096	KLHL13	A0A0C4DG80_HUMAN A0A0C4DG99_HUMAN C9JTS9_HUMAN KLH13_HUMAN	4.274180949419634	1.1139433523068367	-1.3979400086720375	1.2324878663529863	X
ENSG00000003147	ICA1	B9ZVM7_HUMAN C9IZC7_HUMAN C9J3Y4_HUMAN C9J8Y3_HUMAN E7ENI6_HUMAN E9PDL4_HUMAN F8WET5_HUMAN ICA69_HUMAN Q6LCR0_HUMAN Q6LCT9_HUMAN		1.0	-1.3979400086720375	0.5453071164658241	7
ENSG00000003393	ALS2	H0Y696_HUMAN J3KQ33_HUMAN J3KQ43_HUMAN ALS2_HUMAN	4.667695716350137	0.0	0.012837224705172215	1.2335037603411343	2
ENSG00000003400	CASP10	B4E3T5_HUMAN CASPA_HUMAN	4.9065289761821305	1.57978359661681	1.0603200286882852	-2.0	2
ENSG00000003402	CFLAR	A0A0A0MR92_HUMAN C9J408_HUMAN C9J4Q0_HUMAN C9JSU3_HUMAN C9JV51_HUMAN E9PAP3_HUMAN F8WBH9_HUMAN M0QY57_HUMAN M0QYM0_HUMAN M0R1A8_HUMAN CFLAR_HUMAN	5.006598663662155	1.7160033436347992	1.6214878645806303	1.2084413564385674	2
ENSG00000003436	TFPI	C9J103_HUMAN C9JKV3_HUMAN C9JP39_HUMAN C9JQ14_HUMAN C9JT76_HUMAN TFPI1_HUMAN	4.782357943816557	1.1139433523068367	-2.0	-0.5228787452803376	2
ENSG00000003756	RBM5	C9J9P7_HUMAN C9JFQ5_HUMAN C9JR02_HUMAN F8W910_HUMAN F8WE23_HUMAN H7BYM9_HUMAN RBM5_HUMAN	4.337918272572674	0.6989700043360189	2.4617985575251087	2.0503024039624016	3
ENSG00000003987	MTMR7	E5RK11_HUMAN MTMR7_HUMAN	4.866204608446378	0.4771212547196624	-2.0	0.9818186071706636	8
ENSG00000004059	ARF5	C9J1Z8_HUMAN ARF5_HUMAN	4.598724865357054	0.8450980400142568	2.2237813963998136	2.003805073565025	7
ENSG00000004142	POLDIP2	B4DEM9_HUMAN PDIP2_HUMAN	4.713019872452841	1.146128035678238	1.334453751150931	1.6797003808719642	17
ENSG00000004399	PLXND1	D6RH25_HUMAN H0Y9D1_HUMAN H0YA64_HUMAN H0YAB2_HUMAN H0YAM9_HUMAN PLXD1_HUMAN	4.014772474073064	0.4771212547196624	0.3783979009481376	1.5154764413823758	3
ENSG00000004455	AK2	F8VPP1_HUMAN F8VY04_HUMAN F8VZG5_HUMAN F8W1A4_HUMAN G3V213_HUMAN KAD2_HUMAN	4.8748064025291535	1.2552725051033058	1.6789733759197651	1.4164740791002208	1
ENSG00000004468	CD38	H0Y950_HUMAN CD38_HUMAN	4.863661834448632	0.6989700043360189	0.9647309210536292	-0.6989700043360187	4
