Ensembl ID	Uniprot IDs	Length	Symbol
ENSG00000000003	A0A087WYV6_HUMAN A0A087WZU5_HUMAN TSN6_HUMAN	15084.00000000001	TSPAN6
ENSG00000000005	TNMD_HUMAN	12882.99999999999	TNMD
ENSG00000000419	H0Y368_HUMAN DPM1_HUMAN Q5QPJ9_HUMAN Q5QPK2_HUMAN	44637.00000000001	DPM1
ENSG00000000457	PACE1_HUMAN X6RHX1_HUMAN	23689.000000000007	SCYL3
ENSG00000000460	A0A1B0GTJ9_HUMAN A0A1B0GUP7_HUMAN A0A1B0GV14_HUMAN CA112_HUMAN	23214.00000000002	C1orf112
ENSG00000000938	FGR_HUMAN Q5TGY6_HUMAN	192074.00000000015	FGR
ENSG00000000971	A0A0D9SG88_HUMAN CFAH_HUMAN Q5TFM2_HUMAN	16879.99999999999	CFH
ENSG00000001036	Q7Z6V2_HUMAN FUCO2_HUMAN	95626.99999999997	FUCA2
ENSG00000001084	A0A0C4DGB2_HUMAN D6R959_HUMAN D6REX4_HUMAN D6RGF8_HUMAN D6RIT4_HUMAN E1CEI4_HUMAN H0Y9I7_HUMAN H0YAB6_HUMAN GSH1_HUMAN	27031.999999999993	GCLC
ENSG00000001167	NFYA_HUMAN	119630.00000000009	NFYA
ENSG00000001460	H0Y4J3_HUMAN STPG1_HUMAN Q5TH77_HUMAN	57183.0000000001	STPG1
ENSG00000001461	A6NN97_HUMAN H0Y4I9_HUMAN NPAL3_HUMAN	59935.99999999997	NIPAL3
ENSG00000001497	LAS1L_HUMAN R4GNF7_HUMAN	16707.000000000004	LAS1L
ENSG00000001561	ENPP4_HUMAN		ENPP4
ENSG00000001617	C9IYS6_HUMAN C9J1V2_HUMAN C9J4H5_HUMAN C9JPG5_HUMAN H7C4A2_HUMAN SEM3F_HUMAN	250188.00000000017	SEMA3F
ENSG00000001626	C9J6L5_HUMAN E7EPB6_HUMAN H0Y8A9_HUMAN M0QYZ3_HUMAN CFTR_HUMAN	34031.00000000003	CFTR
ENSG00000001629	C9JZ63_HUMAN H7C0S0_HUMAN H7C2L9_HUMAN H7C2V2_HUMAN AKIB1_HUMAN	30802.00000000002	ANKIB1
ENSG00000001630	A0A0C4DFL7_HUMAN C9IYR8_HUMAN H7C0D0_HUMAN CP51A_HUMAN	155150.99999999988	CYP51A1
ENSG00000001631	A0A0C4DG23_HUMAN C9J3W7_HUMAN C9J718_HUMAN C9JBN7_HUMAN C9JD43_HUMAN C9JD81_HUMAN C9JEW7_HUMAN C9JF32_HUMAN C9JI47_HUMAN C9JIY2_HUMAN C9JJM9_HUMAN C9JSG7_HUMAN C9JXI9_HUMAN KRIT1_HUMAN		KRIT1
ENSG00000002016	E9PF95_HUMAN F5GX32_HUMAN F5GX95_HUMAN F5H1K5_HUMAN RAD52_HUMAN	47198.00000000004	RAD52
ENSG00000002330	A8MXU7_HUMAN F5GYS3_HUMAN F5H1R6_HUMAN F5H3B1_HUMAN BAD_HUMAN	30781.00000000002	BAD
ENSG00000002549	H0Y983_HUMAN H0Y9Q1_HUMAN AMPL_HUMAN	14875.000000000004	LAP3
ENSG00000002586	A0A096LP69_HUMAN A6NGF6_HUMAN A6NJT9_HUMAN A8MQT7_HUMAN H7C2F2_HUMAN CD99_HUMAN	36615.999999999935	CD99
ENSG00000002587	E9PDE3_HUMAN HS3S1_HUMAN	50130.999999999956	HS3ST1
ENSG00000002726	C9J0G8_HUMAN C9J2J4_HUMAN AOC1_HUMAN	15738.0	AOC1
ENSG00000002745	E9PH60_HUMAN WNT16_HUMAN	36877.999999999985	WNT16
ENSG00000002746	H7C3Q2_HUMAN HECW1_HUMAN	417451.0000000001	HECW1
ENSG00000002822	C9J9H5_HUMAN C9JIR0_HUMAN C9JJ38_HUMAN C9JKI7_HUMAN C9JP81_HUMAN C9JPS1_HUMAN C9JTA2_HUMAN C9JX80_HUMAN C9K086_HUMAN MD1L1_HUMAN	453403.00000000023	MAD1L1
ENSG00000002834	C9J9W2_HUMAN F6S2S5_HUMAN J3KSN1_HUMAN K7ESD6_HUMAN LASP1_HUMAN	19718.000000000004	LASP1
ENSG00000002919	B4DJI7_HUMAN J3KTN6_HUMAN J3QKV3_HUMAN J3QLV8_HUMAN J3QRB9_HUMAN J3QRW4_HUMAN SNX11_HUMAN	51911.99999999994	SNX11
ENSG00000002933	C9JJ63_HUMAN C9JRT9_HUMAN H7C4P5_HUMAN T176A_HUMAN	9592.999999999993	TMEM176A
ENSG00000003056	F5GX30_HUMAN F5GXE0_HUMAN F5GXU0_HUMAN F5H4U1_HUMAN F5H883_HUMAN H0YF90_HUMAN H0YFL0_HUMAN H0YFY9_HUMAN H0YGE9_HUMAN H0YGT2_HUMAN MPRD_HUMAN	4718.0000000000055	M6PR
ENSG00000003096	A0A0C4DG80_HUMAN A0A0C4DG99_HUMAN C9JTS9_HUMAN KLH13_HUMAN	18801.00000000002	KLHL13
ENSG00000003137	E5RHM2_HUMAN E5RHN4_HUMAN E7ER08_HUMAN CP26B_HUMAN	219527.99999999985	CYP26B1
ENSG00000003147	B9ZVM7_HUMAN C9IZC7_HUMAN C9J3Y4_HUMAN C9J8Y3_HUMAN E7ENI6_HUMAN E9PDL4_HUMAN F8WET5_HUMAN ICA69_HUMAN Q6LCR0_HUMAN Q6LCT9_HUMAN		ICA1
ENSG00000003249	H3BLZ2_HUMAN H3BS76_HUMAN DBND1_HUMAN	149503.9999999996	DBNDD1
ENSG00000003393	H0Y696_HUMAN J3KQ33_HUMAN J3KQ43_HUMAN ALS2_HUMAN	46525.99999999995	ALS2
ENSG00000003400	B4E3T5_HUMAN CASPA_HUMAN	80636.00000000004	CASP10
ENSG00000003402	A0A0A0MR92_HUMAN C9J408_HUMAN C9J4Q0_HUMAN C9JSU3_HUMAN C9JV51_HUMAN E9PAP3_HUMAN F8WBH9_HUMAN M0QY57_HUMAN M0QYM0_HUMAN M0R1A8_HUMAN CFLAR_HUMAN	101530.99999999996	CFLAR
ENSG00000003436	C9J103_HUMAN C9JKV3_HUMAN C9JP39_HUMAN C9JQ14_HUMAN C9JT76_HUMAN TFPI1_HUMAN	60584.00000000004	TFPI
ENSG00000003509	B4E0W7_HUMAN C9J236_HUMAN C9JEL7_HUMAN C9JP36_HUMAN C9JS27_HUMAN H7C3N5_HUMAN NDUF7_HUMAN	30113.999999999993	NDUFAF7
ENSG00000003756	C9J9P7_HUMAN C9JFQ5_HUMAN C9JR02_HUMAN F8W910_HUMAN F8WE23_HUMAN H7BYM9_HUMAN RBM5_HUMAN	21773.000000000033	RBM5
ENSG00000003987	E5RK11_HUMAN MTMR7_HUMAN	73485.99999999996	MTMR7
ENSG00000003989	A0A1W2PR06_HUMAN CTR2_HUMAN	115498.99999999993	SLC7A2
ENSG00000004059	C9J1Z8_HUMAN ARF5_HUMAN	39693.99999999996	ARF5
ENSG00000004139	J3KRZ6_HUMAN J3KSG7_HUMAN J3QRE0_HUMAN SARM1_HUMAN	3361.0	SARM1
ENSG00000004142	B4DEM9_HUMAN PDIP2_HUMAN	51644.000000000015	POLDIP2
ENSG00000004399	D6RH25_HUMAN H0Y9D1_HUMAN H0YA64_HUMAN H0YAB2_HUMAN H0YAM9_HUMAN PLXD1_HUMAN	10346.00000000001	PLXND1
ENSG00000004455	F8VPP1_HUMAN F8VY04_HUMAN F8VZG5_HUMAN F8W1A4_HUMAN G3V213_HUMAN KAD2_HUMAN	74955.99999999999	AK2
ENSG00000004468	H0Y950_HUMAN CD38_HUMAN	73057.00000000004	CD38
ENSG00000004478	F5H120_HUMAN F5H1U3_HUMAN H0YFG2_HUMAN H0YG86_HUMAN FKBP4_HUMAN	64241.999999999854	FKBP4
ENSG00000004487	KDM1A_HUMAN R4GMP9_HUMAN R4GMQ1_HUMAN	10471.00000000001	KDM1A
ENSG00000004534	C9J250_HUMAN C9JII0_HUMAN C9JMC8_HUMAN C9JSL1_HUMAN E9PGM9_HUMAN F8WCA5_HUMAN F8WCT0_HUMAN F8WF63_HUMAN RBM6_HUMAN	34577.00000000002	RBM6
ENSG00000004660	J3KPJ3_HUMAN KKCC1_HUMAN	160039.00000000012	CAMKK1
ENSG00000004700	F5GYB7_HUMAN F5H2L2_HUMAN F5H3W0_HUMAN F5H4P4_HUMAN F8WA66_HUMAN F8WD97_HUMAN RECQ1_HUMAN	128782.00000000006	RECQL
ENSG00000004766	C9JA29_HUMAN F2Z3F0_HUMAN F8WDT1_HUMAN H0Y7Q2_HUMAN H7BZP1_HUMAN VPS50_HUMAN	32758.99999999998	VPS50
ENSG00000004776	A0A1X7SC65_HUMAN K7EP04_HUMAN HSPB6_HUMAN	14291.000000000007	HSPB6
ENSG00000004777	A0A0A0MQQ9_HUMAN K7EK14_HUMAN K7EMC2_HUMAN K7EQI6_HUMAN RHG33_HUMAN	3510.9999999999995	ARHGAP33
ENSG00000004779	H3BNE8_HUMAN H3BNK3_HUMAN I3L505_HUMAN ACPM_HUMAN	12992.999999999987	NDUFAB1
ENSG00000004799	PDK4_HUMAN	15354.99999999999	PDK4
ENSG00000004809	C9JGT0_HUMAN C9JTF8_HUMAN C9JU94_HUMAN S22AG_HUMAN X6RE50_HUMAN	5742.999999999998	SLC22A16
ENSG00000004838	C9JUQ8_HUMAN F2Z3M9_HUMAN ZMY10_HUMAN	51955.00000000002	ZMYND10
ENSG00000004846	H7C165_HUMAN ABCB5_HUMAN	12727.000000000002	ABCB5
ENSG00000004848	A0A1B0GUI3_HUMAN ARX_HUMAN	161831.9999999999	ARX
ENSG00000004864	CMC2_HUMAN R4GN64_HUMAN	276866.0	SLC25A13
ENSG00000004866	B7Z4L1_HUMAN B7Z4U3_HUMAN C9J2Z1_HUMAN C9JCI7_HUMAN C9JRQ0_HUMAN C9JRW1_HUMAN C9JU30_HUMAN C9JWK8_HUMAN C9JX79_HUMAN C9JZV9_HUMAN E7EMS3_HUMAN E7ENZ9_HUMAN E7EPD9_HUMAN E7EPW5_HUMAN E9PCV1_HUMAN E9PF01_HUMAN G3XAH9_HUMAN H7BXS2_HUMAN ST7_HUMAN	201928.00000000012	ST7
ENSG00000004897	E9PRZ6_HUMAN F6QPS0_HUMAN G5EA36_HUMAN I3L1K3_HUMAN I3L225_HUMAN I3L2Z8_HUMAN I3L328_HUMAN I3L394_HUMAN I3L3G1_HUMAN I3L3H6_HUMAN I3L3Y5_HUMAN K7EMA6_HUMAN CDC27_HUMAN	19756.999999999993	CDC27
ENSG00000004939	A0A0A0MS98_HUMAN B3AT_HUMAN V9H0V9_HUMAN		SLC4A1
ENSG00000004948	A0A0A0MRG0_HUMAN A0A0A0MSQ7_HUMAN A0A0C4DG16_HUMAN D8MIV0_HUMAN CALCR_HUMAN		CALCR
ENSG00000004961	CCHL_HUMAN	150244.0000000001	HCCS
ENSG00000004975	I3L0M7_HUMAN I3L0Z8_HUMAN I3L2N2_HUMAN I3L2W9_HUMAN DVL2_HUMAN	5443.999999999998	DVL2
ENSG00000005001	I3L116_HUMAN I3L147_HUMAN BSSP4_HUMAN	9205.000000000004	PRSS22
ENSG00000005007	RENT1_HUMAN	328177.99999999994	UPF1
ENSG00000005020	C9JQ17_HUMAN SKAP2_HUMAN	36299.0000000001	SKAP2
ENSG00000005022	ADT2_HUMAN	128521.99999999999	SLC25A5
ENSG00000005059	MCUB_HUMAN	2920.000000000001	MCUB
ENSG00000005073	H0YIA6_HUMAN HXA11_HUMAN	5789.999999999998	HOXA11
ENSG00000005075	F6S314_HUMAN RPB11_HUMAN	3713.9999999999955	POLR2J
ENSG00000005100	I3L0M5_HUMAN I3L1L6_HUMAN Q05BE5_HUMAN DHX33_HUMAN	21566.999999999996	DHX33
ENSG00000005102	F8VXS6_HUMAN MEOX1_HUMAN	28149.00000000002	MEOX1
ENSG00000005108	A0A087WY08_HUMAN THS7A_HUMAN	29250.000000000025	THSD7A
ENSG00000005156	K7EJR4_HUMAN K7ELY6_HUMAN K7ENR9_HUMAN K7EQB6_HUMAN K7ERZ5_HUMAN DNLI3_HUMAN	461841.9999999997	LIG3
ENSG00000005175	RPAP3_HUMAN	187339.0	RPAP3
ENSG00000005187	H3BR33_HUMAN H3BSM0_HUMAN H3BT38_HUMAN H3BTG0_HUMAN H3BUF2_HUMAN H3BV29_HUMAN H3BVD5_HUMAN ACSM3_HUMAN	44813.00000000005	ACSM3
ENSG00000005189	H3BM72_HUMAN H3BPB2_HUMAN H3BQ98_HUMAN H3BQP3_HUMAN H3BR13_HUMAN H3BRC7_HUMAN H3BRG1_HUMAN H3BSC5_HUMAN H3BSE4_HUMAN H3BUT7_HUMAN H3BV93_HUMAN REXO5_HUMAN	19360.0	REXO5
ENSG00000005194	H3BPG7_HUMAN H3BQ23_HUMAN H3BT65_HUMAN H3BTT4_HUMAN H3BTZ8_HUMAN H3BUG4_HUMAN H3BV90_HUMAN CPIN1_HUMAN	43239.99999999999	CIAPIN1
ENSG00000005206	A0A087WT77_HUMAN A0A087WWL4_HUMAN A0A087WZ50_HUMAN A0A087WZ93_HUMAN SPP2B_HUMAN	12229.999999999989	SPPL2B
ENSG00000005238	F214B_HUMAN	26191.999999999985	FAM214B
ENSG00000005243	A0A0G2JLH9_HUMAN J3KRJ9_HUMAN J3QL73_HUMAN J3QLS7_HUMAN J3QQQ5_HUMAN J3QS21_HUMAN COPZ2_HUMAN		COPZ2
ENSG00000005249	KAP3_HUMAN	11864.000000000011	PRKAR2B
ENSG00000005302	A6NLU8_HUMAN C9JKR8_HUMAN C9JXM9_HUMAN F8WC61_HUMAN H7BYE4_HUMAN MS3L1_HUMAN	155673.00000000012	MSL3
ENSG00000005339	A0A1B0GUU0_HUMAN I3L0Q1_HUMAN I3L293_HUMAN I3L3I5_HUMAN I3L466_HUMAN CBP_HUMAN	17594.99999999999	CREBBP
ENSG00000005379	A0A0C4DGN5_HUMAN J3KSY4_HUMAN J3KT64_HUMAN RIMB1_HUMAN	11079.999999999995	TSPOAP1
ENSG00000005381	J3QSF7_HUMAN PERM_HUMAN	27533.0	MPO
ENSG00000005421	F8WF42_HUMAN PON1_HUMAN		PON1
ENSG00000005436	C9JII4_HUMAN H7C335_HUMAN GCFC2_HUMAN S4R3C1_HUMAN S4R461_HUMAN S4R465_HUMAN	27031.999999999993	GCFC2
ENSG00000005448	B9A049_HUMAN C9J016_HUMAN WDR54_HUMAN	54115.000000000146	WDR54
ENSG00000005469	C9J3D7_HUMAN OCTC_HUMAN	4077.9999999999964	CROT
ENSG00000005471	E7EQI1_HUMAN H7C0M2_HUMAN MDR3_HUMAN	100183.0	ABCB4
ENSG00000005483	A0A087WYW5_HUMAN C9JNE1_HUMAN C9JQ68_HUMAN C9JYI9_HUMAN F8WAU9_HUMAN H7C4F3_HUMAN H7C5C4_HUMAN KMT2E_HUMAN S4R363_HUMAN	78738.99999999997	KMT2E
ENSG00000005486	RHBD2_HUMAN Q9UDT1_HUMAN	5172.000000000003	RHBDD2
ENSG00000005513	SOX8_HUMAN	46325.00000000002	SOX8
ENSG00000005700	D6R9F4_HUMAN E7EPI0_HUMAN E9PDR5_HUMAN H0Y9N7_HUMAN IBTK_HUMAN	39961.99999999999	IBTK
ENSG00000005801	A0A087WT67_HUMAN C9JG37_HUMAN E9PIN4_HUMAN E9PIT0_HUMAN E9PIY8_HUMAN E9PLF5_HUMAN E9PLW9_HUMAN E9PMX5_HUMAN E9PNM0_HUMAN E9PPF8_HUMAN E9PSE6_HUMAN H0YDV1_HUMAN ZN195_HUMAN	77771.99999999993	ZNF195
ENSG00000005810	A0A087WY34_HUMAN A0A0C4DGY7_HUMAN H7C3U4_HUMAN MYCB2_HUMAN	34598.000000000015	MYCBP2
ENSG00000005812	C9J0Y7_HUMAN FBXL3_HUMAN	282395.9999999999	FBXL3
ENSG00000005844	B4DQ77_HUMAN B4E021_HUMAN H3BNL5_HUMAN H3BS37_HUMAN H3BSV1_HUMAN H3BUT3_HUMAN I3L1D1_HUMAN I3L468_HUMAN ITAL_HUMAN	17415.999999999993	ITGAL
ENSG00000005882	D6R983_HUMAN D6RDN9_HUMAN D6RGV8_HUMAN D6RHG2_HUMAN D6RJH7_HUMAN PDK2_HUMAN	50527.99999999995	PDK2
ENSG00000005884	D6R9X8_HUMAN H0YA32_HUMAN H0YA49_HUMAN K7EMU3_HUMAN K7EQJ2_HUMAN ITA3_HUMAN	67082.99999999994	ITGA3
ENSG00000005889	C9J682_HUMAN C9JGU9_HUMAN E9PEP7_HUMAN ZFX_HUMAN	34513.999999999985	ZFX
ENSG00000005893	H0YCG2_HUMAN LAMP2_HUMAN	17325.999999999996	LAMP2
ENSG00000005961	K7EKA6_HUMAN K7EP83_HUMAN ITA2B_HUMAN	41538.999999999935	ITGA2B
ENSG00000005981	ASB4_HUMAN	20457.00000000002	ASB4
ENSG00000006007	H3BNA5_HUMAN H3BRL5_HUMAN H3BU22_HUMAN GDE1_HUMAN	61788.99999999998	GDE1
ENSG00000006015	M0QYI9_HUMAN M0R0T3_HUMAN REX1B_HUMAN	35521.99999999999	REX1BD
ENSG00000006016	M0QZL6_HUMAN CRLF1_HUMAN	3652.0000000000023	CRLF1
ENSG00000006025	J3QLK7_HUMAN J3QSC2_HUMAN OSBL7_HUMAN	17197.0	OSBPL7
