Ensembl ID	Uniprot IDs	Length
ENSG00000000003	A0A087WYV6_HUMAN A0A087WZU5_HUMAN TSN6_HUMAN	17.790000339114584
ENSG00000000005	TNMD_HUMAN	17.222239796120387
ENSG00000000419	H0Y368_HUMAN DPM1_HUMAN Q5QPJ9_HUMAN Q5QPK2_HUMAN	21.94966357899811
ENSG00000000457	PACE1_HUMAN X6RHX1_HUMAN	19.466659074921456
ENSG00000000460	A0A1B0GTJ9_HUMAN A0A1B0GUP7_HUMAN A0A1B0GV14_HUMAN CA112_HUMAN	19.389772888785835
ENSG00000000938	FGR_HUMAN Q5TGY6_HUMAN	28.245040244163892
ENSG00000000971	A0A0D9SG88_HUMAN CFAH_HUMAN Q5TFM2_HUMAN	18.20067776582984
ENSG00000001036	Q7Z6V2_HUMAN FUCO2_HUMAN	25.13618242926233
ENSG00000001084	A0A0C4DGB2_HUMAN D6R959_HUMAN D6REX4_HUMAN D6RGF8_HUMAN D6RIT4_HUMAN E1CEI4_HUMAN H0Y9I7_HUMAN H0YAB6_HUMAN GSH1_HUMAN	19.97154419142968
ENSG00000001167	NFYA_HUMAN	26.11446010894373
ENSG00000001460	H0Y4J3_HUMAN STPG1_HUMAN Q5TH77_HUMAN	22.961588701061796
ENSG00000001461	A6NN97_HUMAN H0Y4I9_HUMAN NPAL3_HUMAN	23.156300290919294
ENSG00000001497	LAS1L_HUMAN R4GNF7_HUMAN	18.162871509966983
ENSG00000001561	ENPP4_HUMAN	
ENSG00000001617	C9IYS6_HUMAN C9J1V2_HUMAN C9J4H5_HUMAN C9JPG5_HUMAN H7C4A2_HUMAN SEM3F_HUMAN	29.47128093927988
ENSG00000001626	C9J6L5_HUMAN E7EPB6_HUMAN H0Y8A9_HUMAN M0QYZ3_HUMAN CFTR_HUMAN	20.867888396334873
ENSG00000001629	C9JZ63_HUMAN H7C0S0_HUMAN H7C2L9_HUMAN H7C2V2_HUMAN AKIB1_HUMAN	20.477340689875007
ENSG00000001630	A0A0C4DFL7_HUMAN C9IYR8_HUMAN H7C0D0_HUMAN CP51A_HUMAN	27.273933100469957
