KX341966.1 18114 0 KX341966.1 Gmelinoides fasciatus mitochondrion, complete genome
MG970575.2 16570 0 MG970575.2 Homo sapiens haplogroup H mitochondrion, complete genome
KU956960.1 18628 0 KU956960.1 Porites sverdrupi isolate Psv1_BCO mitochondrion, complete genome
NC_037527.1 16920 0 NC_037527.1 Bradypus tridactylus voucher ISEM_T-5013 mitochondrion, complete genome
NC_037525.1 14401 0 NC_037525.1 Ornithodoros savignyi clone Contig419_14401_988 mitochondrion, complete genome
NC_037524.1 14433 0 NC_037524.1 Carios faini clone Contig32/39/56/177/529_144433_259 mitochondrion, complete genome
NC_037523.1 14437 0 NC_037523.1 Argas walkerae clone Contig195_14437_284 mitochondrion, complete genome
NC_037522.1 14487 0 NC_037522.1 Argas striatus clone Contig8/39_14426_3638 mitochondrion, complete genome
NC_037521.1 16805 0 NC_037521.1 Serinus canaria mitochondrion, complete genome
NC_037520.1 16462 0 NC_037520.1 Syngnathus schlegeli mitochondrion, complete genome
NC_037516.1 16578 0 NC_037516.1 Schizothorax taliensis mitochondrion, complete genome
NC_037515.1 15427 0 NC_037515.1 Paraona staudingeri strain Guanshan mitochondrion, complete genome
NC_037513.1 17160 0 NC_037513.1 Streptopelia decaocto mitochondrion, complete genome
NC_037512.1 15472 0 NC_037512.1 Aglaomorpha histrio mitochondrion, complete genome
NC_037511.1 15970 0 NC_037511.1 Incisitermes minor mitochondrion, complete genome
NC_037509.1 16592 0 NC_037509.1 Psammomys obesus mitochondrion, complete genome
NC_037505.1 16486 0 NC_037505.1 Pagellus acarne mitochondrion, complete genome
NC_037502.1 16652 0 NC_037502.1 Salvelinus malma mitochondrion, complete genome
NC_037501.1 15201 0 NC_037501.1 Endotricha consocia mitochondrion, complete genome
NC_037500.1 15620 0 NC_037500.1 Sabethes glaucodaemon mitochondrion, complete genome
NC_037499.1 15609 0 NC_037499.1 Sabethes chloropterus mitochondrion, complete genome
NC_037498.1 15911 0 NC_037498.1 Sabethes belisarioi mitochondrion, complete genome
NC_037496.1 15322 0 NC_037496.1 Cryptocercus meridianus mitochondrion, complete genome
NC_037493.1 14718 0 NC_037493.1 Haemaphysalis longicornis mitochondrion, complete genome
NC_037488.1 16362 0 NC_037488.1 Diaphanosoma dubium mitochondrion, complete genome
NC_037487.1 15903 0 NC_037487.1 Shinkaicaris leurokolos mitochondrion, complete genome
NC_037486.1 16928 0 NC_037486.1 Urocissa caerulea mitochondrion, complete genome
NC_037481.1 16073 0 NC_037481.1 Gammarus roeselii mitochondrion, complete genome
NC_037476.1 242410 0 NC_037476.1 Anthoceros angustus mitochondrion, complete genome
NC_037470.1 16718 0 NC_037470.1 Bagre panamensis mitochondrion, complete genome
NC_037469.1 16714 0 NC_037469.1 Occidentarius platypogon mitochondrion, complete genome
NC_037468.1 617195 0 NC_037468.1 Nymphaea colorata mitochondrion, complete genome
NC_037467.1 14268 0 NC_037467.1 Gyge ovalis mitochondrion, complete genome
NC_037466.1 16565 0 NC_037466.1 Macaca mulatta vestita mitochondrion, complete genome
NC_037464.1 17870 0 NC_037464.1 Garrulax albogularis mitochondrion, complete genome
NC_037463.1 640906 0 NC_037463.1 Citrus sinensis mitochondrion, complete genome
NC_037454.1 39464 0 NC_037454.1 Cryptomonas curvata strain CNUKR mitochondrion, complete genome
NC_037453.1 48236 0 NC_037453.1 Proteomonas sulcata strain CCMP705 mitochondrion, complete genome
NC_037452.1 61567 0 NC_037452.1 Storeatula sp. CCMP1868 mitochondrion, complete genome
NC_037451.1 46700 0 NC_037451.1 Chroomonas placoidea strain CCAP978/8 mitochondrion, complete genome
NC_037449.1 38164 0 NC_037449.1 Prototheca zopfii strain SAG 2063 mitochondrion, complete genome
NC_037445.1 15252 0 NC_037445.1 Psilogramma increta mitochondrion, complete genome
NC_037444.1 16386 0 NC_037444.1 Eubalaena glacialis mitochondrion, complete genome
NC_037441.1 15290 0 NC_037441.1 Macroglossum stellatarum mitochondrion, complete genome
NC_037437.1 16525 0 NC_037437.1 Macaca sinica mitochondrion, complete genome
NC_037436.1 43442 0 NC_037436.1 Teleaulax amphioxeia strain HACCP-CR01 mitochondrion, complete genome
NC_037435.1 18630 0 NC_037435.1 Porites harrisoni mitochondrion, complete genome
NC_037434.1 18658 0 NC_037434.1 Porites fontanesii voucher SO114 mitochondrion, complete genome
NC_037431.1 15909 0 NC_037431.1 Alasmidonta heterodon mitochondrion, complete genome
NC_037408.1 16598 0 NC_037408.1 Semilabeo obscurus mitochondrion, complete genome
NC_037406.1 16955 0 NC_037406.1 Porzana paykullii mitochondrion, complete genome
NC_037405.1 16622 0 NC_037405.1 Ancherythroculter wangi mitochondrion, complete genome
NC_037404.1 16774 0 NC_037404.1 Acheilognathus omeiensis mitochondrion, complete genome
NC_037403.1 16675 0 NC_037403.1 Sarcocheilichthys davidi mitochondrion, complete genome
NC_037402.1 16603 0 NC_037402.1 Microphysogobio kiatingensis mitochondrion, complete genome
NC_037399.1 16677 0 NC_037399.1 Salmo ischchan isolate BO1 mitochondrion, complete genome
NC_037398.1 15002 0 NC_037398.1 Tetraclita rufotincta mitochondrion, complete genome
NC_037397.1 15544 0 NC_037397.1 Choristoneura rosaceana mitochondrion, complete genome
NC_037396.1 15540 0 NC_037396.1 Choristoneura murinana mitochondrion, complete genome
NC_037395.1 15304 0 NC_037395.1 Choristoneura fumiferana mitochondrion, complete genome
NC_037394.1 15533 0 NC_037394.1 Choristoneura biennis mitochondrion, complete genome
NC_037393.1 15536 0 NC_037393.1 Choristoneura occidentalis mitochondrion, complete genome
NC_037391.1 20722 0 NC_037391.1 Halichondria okadai mitochondrion, complete genome
NC_037390.1 15495 0 NC_037390.1 Cirriformia cf. tentaculata HK-2018 mitochondrion, complete genome
NC_037387.1 16568 0 NC_037387.1 Chelodina oblonga mitochondrion, complete genome
NC_037386.1 16503 0 NC_037386.1 Chelodina pritchardi mitochondrion, complete genome
NC_037385.1 16523 0 NC_037385.1 Chelodina parkeri mitochondrion, complete genome
NC_037384.1 16508 0 NC_037384.1 Chelodina mccordi mitochondrion, complete genome
